sail_key,state,label,report_no,source,binary_label
ATLANTA,GA,S,,original,1.0
CHEYENNE,WY,S,,original,1.0
COLUMBIASC,SC,S,,original,1.0
DALLAS,TX,S,,original,1.0
DANVILLE,IL,S,,original,1.0
DUBLIN,GA,S,,original,1.0
ELPASO,TX,S,,original,1.0
GAINESVILLE,FL,S,,original,1.0
HAMPTON,VA,S,,original,1.0
HINES,IL,S,,original,1.0
HONOLULU,HI,S,,original,1.0
HOUSTON,TX,S,,original,1.0
KANSASCITY,MO,S,,original,1.0
LITTLEROCK,AR,S,,original,1.0
LOUISVILLE,KY,S,,original,1.0
MANCHESTER,NH,S,,original,1.0
MIAMI,FL,S,,original,1.0
MONTGOMERY,AL,S,,original,1.0
MOUNTAINHOME,TN,S,,original,1.0
NEWORLEANS,LA,S,,original,1.0
ORLANDO,FL,S,,original,1.0
PHILADELPHIA,PA,S,,original,1.0
PHOENIX,AZ,S,,original,1.0
SANANTONIO,TX,S,,original,1.0
SANDIEGO,CA,S,,original,1.0
SANJUAN,PR,S,,original,1.0
STLOUIS,MO,S,,original,1.0
TEMPLE,TX,S,,original,1.0
TUCSON,AZ,S,,original,1.0
TUSCALOOSA,AL,S,,original,1.0
WASHINGTONDC,DC,S,,original,1.0
AMARILLO,TX,N,,original,0.0
BATTLECREEK,MI,N,,original,0.0
BOISE,ID,N,,original,0.0
BROOKLYN,NY,N,,original,0.0
CONNECTICUT,CT,N,,original,0.0
GRANDJUNCTION,CO,N,,original,0.0
HARLINGEN,TX,N,,original,0.0
HUNTINGTON,WV,N,,original,0.0
LAKECITY,FL,N,,original,0.0
LOSANGELES,CA,N,,original,0.0
MINNEAPOLIS,MN,N,,original,0.0
NASHVILLE,TN,N,,original,0.0
PALOALTO,CA,N,,original,0.0
PORTLAND,OR,N,,original,0.0
PRESCOTT,AZ,N,,original,0.0
TOPEKA,KS,N,,original,0.0
WESTPALMBEACH,FL,N,,original,0.0
WICHITA,KS,N,,original,0.0
WILMINGTON,DE,N,,original,0.0
BAYPINES,FL,A,,original,
CENTRALIOWA,IA,A,,original,
MEMPHIS,TN,A,,original,
MURFREESBORO,TN,A,,original,
NORTHAMPTON,MA,A,,original,
PUGETSOUND,WA,A,,original,
SALISBURY,NC,A,,original,
SHREVEPORT,LA,A,,original,
