sail_key,state,label,report_no,source,binary_label
AMARILLO,TX,N,14-02890-152,revised,0.0
ATLANTA,GA,,,revised,
BATTLECREEK,MI,N,14-02890-228,revised,0.0
BAYPINES,FL,S,14-02890-133,revised,1.0
BOISE,ID,N,14-02890-233,revised,0.0
BROOKLYN,NY,N,14-02890-190,revised,0.0
CENTRALIOWA,IA,N,wait-times-14-02890-122,revised,0.0
CHEYENNE,WY,,,revised,
COLUMBIASC,SC,,,revised,
CONNECTICUT,CT,,,revised,
DALLAS,TX,N,14-02890-138,revised,0.0
DANVILLE,IL,S,14-02890-174,revised,1.0
DUBLIN,GA,,,revised,
ELPASO,TX,S,14-02890-137,revised,1.0
GAINESVILLE,FL,S,14-02890-135;14-02890-143,revised,1.0
GRANDJUNCTION,CO,N,14-02890-215,revised,0.0
HAMPTON,VA,,,revised,
HARLINGEN,TX,S,wait-times-14-02890-165,revised,1.0
HINES,IL,S,14-02890-180,revised,1.0
HONOLULU,HI,N,14-02890-157,revised,0.0
HOUSTON,TX,S,wait-times-14-02890-163,revised,1.0
HUNTINGTON,WV,N,14-02890-177,revised,0.0
KANSASCITY,MO,N,14-02890-202,revised,0.0
LAKECITY,FL,N,wait-times-14-02890-120,revised,0.0
LITTLEROCK,AR,S,14-02890-197,revised,1.0
LOSANGELES,CA,S,14-02890-236,revised,1.0
LOUISVILLE,KY,N,14-02890-192;14-02890-217,revised,0.0
MANCHESTER,NH,S,14-02890-232;14-02890-243,revised,1.0
MEMPHIS,TN,N,14-02890-201,revised,0.0
MIAMI,FL,S,14-02890-151,revised,1.0
MINNEAPOLIS,MN,N,wait-times-14-02890-125;14-02890-154,revised,0.0
MONTGOMERY,AL,,,revised,
MOUNTAINHOME,TN,,,revised,
MURFREESBORO,TN,S,14-02890-196,revised,1.0
NASHVILLE,TN,S,14-02890-194;14-02890-195;14-02890-196,revised,1.0
NEWORLEANS,LA,N,14-02890-168,revised,0.0
NORTHAMPTON,MA,N,14-02890-216,revised,0.0
ORLANDO,FL,S,14-02890-134,revised,1.0
PALOALTO,CA,N,14-02890-224,revised,0.0
PHILADELPHIA,PA,S,14-02890-179;wait-times-14-02890-166,revised,1.0
PHOENIX,AZ,S,14-02603-267,revised,1.0
PORTLAND,OR,N,14-02890-167,revised,0.0
PRESCOTT,AZ,,,revised,
PUGETSOUND,WA,N,14-02890-175,revised,0.0
SALISBURY,NC,,,revised,
SANANTONIO,TX,S,14-02890-169;14-02890-170;wait-times-14-02890-163;wait-times-14-02890-164,revised,1.0
SANDIEGO,CA,S,14-02890-227;14-02890-247,revised,1.0
SANJUAN,PR,S,14-02890-219,revised,1.0
SHREVEPORT,LA,N,14-02890-173,revised,0.0
STLOUIS,MO,,,revised,
TEMPLE,TX,S,14-02890-148;14-02890-150,revised,1.0
TOPEKA,KS,N,14-02890-225,revised,0.0
TUCSON,AZ,S,14-02890-72,revised,1.0
TUSCALOOSA,AL,S,14-02890-193,revised,1.0
WASHINGTONDC,DC,,,revised,
WESTPALMBEACH,FL,S,14-02890-127,revised,1.0
WICHITA,KS,N,14-02890-171,revised,0.0
WILMINGTON,DE,,,revised,
